,powe,vibr
2021-07-09 06:04:38,0.24159201911873865,0.0
2021-07-09 06:04:39,0.0,0.0
2021-07-09 06:04:40,0.0,0.0
2021-07-09 06:04:41,0.0,0.0
2021-07-09 06:04:42,0.0,0.0
2021-07-09 06:04:43,0.2740964050515264,0.0
2021-07-09 06:04:44,0.42364734892471007,0.0
2021-07-09 06:04:45,0.0,0.0
2021-07-09 06:04:46,0.4788000768,0.0
2021-07-09 06:04:47,1.1599397526104418,0.0
2021-07-09 06:04:48,0.6602181841269842,0.0
2021-07-09 06:04:49,0.19889223948911383,0.0
2021-07-09 06:04:50,0.299000064,0.0
2021-07-09 06:04:51,0.0,0.0
2021-07-09 06:04:52,0.0,0.0
2021-07-09 06:04:53,0.0,0.0
2021-07-09 06:04:54,0.0,0.0
2021-07-09 06:04:55,0.0,0.0
2021-07-09 06:04:56,0.0,0.0
2021-07-09 06:04:57,0.0,0.0
2021-07-09 06:04:58,0.0,0.0
2021-07-09 06:04:59,0.15816730517928287,0.0
2021-07-09 06:05:00,0.24264267834921782,0.0
2021-07-09 06:05:01,0.0,0.0
2021-07-09 06:05:02,0.0,0.0
2021-07-09 06:05:03,0.0,0.0
2021-07-09 06:05:04,0.0,0.0
2021-07-09 06:05:05,0.0,0.0
2021-07-09 06:05:06,0.23830637419354836,0.0
2021-07-09 06:05:07,0.5600397690706664,0.0
2021-07-09 06:05:08,0.3023952348237624,0.0
2021-07-09 06:05:09,0.0,0.0
2021-07-09 06:05:10,0.19740776407368205,0.0
2021-07-09 06:05:11,0.3017154840466287,0.0
2021-07-09 06:05:12,0.0,0.0
2021-07-09 06:05:13,0.0,0.0
2021-07-09 06:05:14,0.0,0.0
2021-07-09 06:05:15,0.23903417445032762,0.0
2021-07-09 06:05:16,0.7199999694328338,0.0
2021-07-09 06:05:17,0.5419839797334163,0.0
2021-07-09 06:05:18,0.0,0.0
2021-07-09 06:05:19,0.15975977515052492,0.0
2021-07-09 06:05:20,0.24015982994028884,0.0
2021-07-09 06:05:21,0.0,0.0
2021-07-09 06:05:22,0.1969849119527293,0.0
2021-07-09 06:05:23,0.5,0.0
2021-07-09 06:05:24,0.30369632311345124,0.0
2021-07-09 06:05:25,0.0,0.0
2021-07-09 06:05:26,0.19800997610157672,0.0
2021-07-09 06:05:27,0.3025125568667446,0.0
2021-07-09 06:05:28,0.19880122460555932,0.0
2021-07-09 06:05:29,0.3016983209877048,0.0
2021-07-09 06:05:30,0.3578313253012048,0.0
2021-07-09 06:05:31,0.5403596173656499,0.0
2021-07-09 06:05:32,0.0,0.0
2021-07-09 06:05:33,0.0,0.0
2021-07-09 06:05:34,0.0,0.0
2021-07-09 06:05:35,0.3198404887431444,0.0
2021-07-09 06:05:36,0.8396019952203154,0.0
2021-07-09 06:05:37,0.7019153548387097,0.0
2021-07-09 06:05:38,0.43974231530575636,0.0
2021-07-09 06:05:39,0.5,0.0
2021-07-09 06:05:40,0.301500032,0.0
2021-07-09 06:05:41,0.3188754506024097,0.0
2021-07-09 06:05:42,0.48015951125685563,0.0
2021-07-09 06:05:43,0.0,0.0
2021-07-09 06:05:44,0.24048341452888658,0.0
2021-07-09 06:05:45,0.3598814608695652,0.0
2021-07-09 06:05:46,0.0,0.0
2021-07-09 06:05:47,0.0,0.0
2021-07-09 06:05:48,0.2784798248990215,0.0
2021-07-09 06:05:49,0.6214501404648268,0.0
2021-07-09 06:05:50,0.5794794819420025,0.0
2021-07-09 06:05:51,0.4216782855522169,0.0
2021-07-09 06:05:52,0.0,0.0
2021-07-09 06:05:53,0.1977911512394927,0.0
2021-07-09 06:05:54,0.3011987753944407,0.0
2021-07-09 06:05:55,0.0,0.0
2021-07-09 06:05:56,0.3151998976,0.0
2021-07-09 06:05:57,0.4832161221884377,0.0
2021-07-09 06:05:58,0.0,0.0
2021-07-09 06:05:59,0.19949744244438564,0.0
2021-07-09 06:06:00,0.5401598299402888,0.0
2021-07-09 06:06:01,0.36107254587026516,0.0
2021-07-09 06:06:02,0.23782691513264098,0.0
2021-07-09 06:06:03,0.36095617529880475,0.0
2021-07-09 06:06:04,0.0,0.0
2021-07-09 06:06:05,0.0,0.0
2021-07-09 06:06:06,0.0,0.0
2021-07-09 06:06:07,0.0,0.0
2021-07-09 06:06:08,0.0,0.0
2021-07-09 06:06:09,0.0,0.0
2021-07-09 06:06:10,0.0,0.0
2021-07-09 06:06:11,0.1584,0.0
2021-07-09 06:06:12,0.24207378874105437,0.0
2021-07-09 06:06:13,0.1583081415223777,0.0
2021-07-09 06:06:14,0.2404785744859135,0.0
2021-07-09 06:06:15,0.0,0.0
2021-07-09 06:06:16,0.0,0.0
2021-07-09 06:06:17,0.15879997440000002,0.0
2021-07-09 06:06:18,0.2415169713714295,0.0
2021-07-09 06:06:19,0.0,0.0
2021-07-09 06:06:20,0.0,0.0
2021-07-09 06:06:21,0.15823292099159417,0.0
2021-07-09 06:06:22,0.24143425238329821,0.0
2021-07-09 06:06:23,0.19719717103288972,0.0
2021-07-09 06:06:24,0.30289420481990204,0.0
2021-07-09 06:06:25,0.35583499793448664,0.0
2021-07-09 06:06:26,0.5394577734939758,0.0
2021-07-09 06:06:27,0.0,0.0
2021-07-09 06:06:28,0.0,0.0
2021-07-09 06:06:29,0.0,0.0
2021-07-09 06:06:30,0.1975124185480545,0.0
2021-07-09 06:06:31,0.30341021807247137,0.0
2021-07-09 06:06:32,0.0,0.0
2021-07-09 06:06:33,0.1987951807228916,0.0
2021-07-09 06:06:34,0.2997998126254374,0.0
2021-07-09 06:06:35,0.317938522446051,0.0
2021-07-09 06:06:36,0.48577158338801335,0.0
2021-07-09 06:06:37,0.0,0.0
2021-07-09 06:06:38,0.198499968,0.0
2021-07-09 06:06:39,0.3005025575556144,0.0
2021-07-09 06:06:40,0.1596822040307678,0.0
2021-07-09 06:06:41,0.24215784685883457,0.0
2021-07-09 06:06:42,0.0,0.0
2021-07-09 06:06:43,0.5498997290709766,0.0
2021-07-09 06:06:44,0.8461847765294205,0.0
2021-07-09 06:06:45,0.0,0.0
2021-07-09 06:06:46,0.15806451612903227,0.0
2021-07-09 06:06:47,0.24111222459664114,0.0
2021-07-09 06:06:48,0.0,0.0
